variant,dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
baseline,phase_scrambled,0,3,17,6,16.512794238764744,16.440734022710565,16.476764130737656,0.07206021605417945,1.0,1.0,0.061009357887485294,0.17489689603282343,6.595241116916435,5.578844850800075
baseline,phase_scrambled,0,4,18,11,18.087568585117815,18.116141599209172,18.101855092163493,0.028573014091357152,1.0,1.0,0.08574398237606218,0.06361783474604721,2.5529606515650505,1.5080625055061398
baseline,phase_scrambled,0,5,11,7,19.513373006522052,19.546342998982748,19.5298580027524,0.03296999246069632,1.0,1.0,0.04051938196061755,0.04378513460315503,2.3076548343722965,1.2806786046789131
baseline,phase_scrambled,0,6,23,4,23.036175545094068,22.949018154569643,22.992596849831855,0.08715739052442473,1.0,1.0,0.07694102769485767,0.03000175973008723,2.4619053722537094,5.585574004168967
baseline,phase_scrambled,0,7,6,17,24.463747403161005,24.392247013624107,24.427997208392554,0.0715003895368973,1.0,1.0,0.03839132123473732,0.09502183032912015,6.709776987114854,1.7888143459175008
baseline,phase_scrambled,0,8,19,12,28.58553410978892,28.525261031272798,28.555397570530857,0.06027307851612207,1.0,1.0,0.04124990782747773,0.0802327542509289,5.377382562205646,4.567406228776706
baseline,phase_scrambled,0,9,13,16,30.280343330558992,30.27686310571232,30.278603218135657,0.0034802248466725416,1.0,1.0,0.044194194344932214,0.07156649282877936,1.8596840482485861,1.1660934347232514
baseline,phase_scrambled,0,10,26,18,31.741841334968637,31.68354800751988,31.712694671244257,0.05829332744875515,1.0,1.0,0.04393419785941077,0.09114452517054872,2.4907905152955916,1.5753308481881259
baseline,phase_scrambled,0,11,14,13,33.52542060499405,33.59813815946445,33.56177938222925,0.07271755447039396,1.0,1.0,0.048540031486560054,0.08414001537523319,5.226105529204345,5.001584062300965
loose,phase_scrambled,0,1,1,8,4.180901192981475,4.367564833774656,4.2742330133780655,0.18666364079318143,1.0,1.0,0.17077823944896764,0.033588875411651564,2.583681689253915,2.5968986949368698
loose,phase_scrambled,0,2,2,1,7.7727895747279545,7.690357568679449,7.731573571703702,0.08243200604850554,1.0,1.0,0.0567227290099197,0.18974100584502374,9.371845614938154,8.285698984573894
loose,phase_scrambled,0,3,15,14,9.533493583281428,9.553501353542142,9.543497468411786,0.020007770260713542,1.0,1.0,0.010156262324871435,0.050263432134203256,4.395129925323346,2.5564109915558015
loose,phase_scrambled,0,4,16,2,11.122525877668007,11.265216553111438,11.193871215389724,0.14269067544343095,1.0,1.0,0.06203503847767422,0.22414684711942634,3.943359940498209,3.668381541710496
