zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
2,21.022039638771556,-3.0,21.022039638771556,21.235021793586238,21.022039638771556,0.0,21.235021793586238
2,21.022039638771556,-2.400000000000002,21.022039638771556,21.15859519377604,21.022039638771556,0.0,21.15859519377604
2,21.022039638771556,-1.8000000000000007,21.022039638771556,21.098960888491227,21.022039638771556,0.0,21.098960888491227
2,21.022039638771556,-1.2000000000000028,21.022039638771556,21.0562615526613,21.022039638771556,0.0,21.0562615526613
2,21.022039638771556,-0.6000000000000014,21.022039638771556,21.03060033793811,21.022039638771556,0.0,21.03060033793811
2,21.022039638771556,0.0,21.022039638771556,21.022039638771556,21.022039638771556,0.0,21.022039638771556
2,21.022039638771556,0.5999999999999979,21.022039638771556,21.03060033793811,21.022039638771556,0.0,21.03060033793811
2,21.022039638771556,1.1999999999999993,21.022039638771556,21.0562615526613,21.022039638771556,0.0,21.0562615526613
2,21.022039638771556,1.7999999999999972,21.022039638771556,21.098960888491227,21.022039638771556,0.0,21.098960888491227
2,21.022039638771556,2.3999999999999986,21.022039638771556,21.15859519377604,21.022039638771556,0.0,21.15859519377604
2,21.022039638771556,3.0,21.022039638771556,21.235021793586238,21.022039638771556,0.0,21.235021793586238
2,21.022039638771556,3.6000000000000014,21.022039638771556,21.328060169037467,21.022039638771556,0.0,21.328060169037467
2,21.022039638771556,4.199999999999996,21.022039638771556,21.437494036712465,21.022039638771556,0.0,21.437494036712465
2,21.022039638771556,4.799999999999997,21.022039638771556,21.563073773794,21.022039638771556,0.0,21.563073773794
2,21.022039638771556,5.399999999999999,21.022039638771556,21.704519127916253,21.022039638771556,0.0,21.704519127916253
2,21.022039638771556,6.0,21.022039638771556,21.8615221467784,21.022039638771556,0.0,21.8615221467784
2,21.022039638771556,6.600000000000001,21.022039638771556,22.033750261226132,21.022039638771556,0.0,22.033750261226132
